bug_id,report_count,defect_method,primary_defect_method,reported_methods
3,2,readFromFile,init,init|readFromFile
44,2,load,loadTemplateFile,load|loadTemplateFile
55,4,createJar,launchApp,createJar|getYarnDeployDependencies|launchApp|main|visitFile
56,4,visitFile,launchApp,createJar|getYarnDeployDependencies|launchApp|main
61,4,updateSSLKeystore,updateKeyPairs,doInTransactionWithoutResult|templateDetailsInitIfNotExist|updateKeyPairs|updateSSLKeystore
73,7,execute,executeProxyLoadScan,execute|executeProxyLoadScan
116,2,getCompressedSize,getIterator,getCompressedSize|getIterator
177,3,loadFromInputStream,loadFromInputStream,loadFromFile|loadFromInputStream|loadFromObj|saveToObj
186,7,enterprise/tomcat5/src/org/netbeans/modules/tomcat5/deploy/TomcatManagerImpl.javacreateTempContextXml,run,createTempContextXml|encodePath|initialDeploy|install|run
187,6,execute,generateMissingQuestions,execute|generateMissingQuestions|generateTemplateFile|resolveEntity
202,3,open,open,closeAsync|open|readAsync|readUnconfirmedAsync
207,2,loadClass,getResourceAsStream,getResourceAsStream|load|loadClass
220,2,loadBytesRaw,loadBytesRaw,copyFile|loadBytesRaw
234,4,getSecondaryServicePrincipalClientID,cmdInvocation,cmdInvocation|getSecondaryServicePrincipalClientID|getSecondaryServicePrincipalSecret
240,7,pushUpload,openSSHTermOnSystem,addPubKey|authAndAddPubKey|openSSHTermOnSystem|pushUpload
247,2,waitForProcessToComplete,doExecute,doExecute|processInput
289,5,writeFile,readFile,copyFile|getExceptionMessage|readFile|writeFile
295,3,extractEntry,getContent,addFileToZip|extract|extractEntry|getContent|update
373,3,writeExtraDdl,createDdlWriter,createDdlWriter|generateMigration|writeExtraDdl|writeMigrationXml
413,2,create,create,activate|create|mapFile
441,2,write,write,write
447,6,read,parseXML,actualCopy|getFileAsBytes|getMd5Hash|parseXML|read
451,3,readContent,readContent,readContent|writeContent
463,2,parsedTemplateForResource,arsedTemplateForResource(,arsedTemplateForResource(
471,2,readFile,readFile,readFile
480,3,process,process,process|run
495,2,getPersistence,saveTimeStampCache,loadTimeStampCache|saveTimeStampCache
499,2,getFailingLine,createPrintableStackTrace,createPrintableStackTrace|getFailingLine|printScriptStackTrace
504,2,getClientDetail,makeGetter,getClientDetail|makeGetter
505,2,ClientGet,makeGetter,getClientDetail|makeGetter
530,3,installPlugin,start,getElementValue|installPlugin|loadPlugin|start|unzipPlugin
536,4,save,load,load|save
548,4,BundleSpiProvidersLoader.call,getPackageResources,call|getPackageResources|getResourceBundle
552,2,dispose,getInputStream,bytes|dispose|getInputStream|text
556,2,extract,extract,extract
560,2,write,init,init|write|writeFile
566,2,locate,locate,locate
575,2,loadAsString,read,openSource|read|write
611,2,run,run,run
632,2,load,parseInputStream,load|parseInputStream
634,2,parseConfig,openSource,openSource|parseConfig
635,3,build,ing,fig(Path fi|ing|th na
638,4,compile,compile,compile|writeZone
642,2,save,readHistory,readHistory|save
644,2,readFileRaw,readFileRaw,readFileRaw|writeFile
651,4,cacheThumbnail,cacheThumbnail,cacheThumbnail|getLength|getRotation|writeInternalMedia
655,2,request,request,request
695,2,writeChangeLog,writeChangeLog,writeChangeLog
702,8,writeToBinaryFile,writeToTextFile,copy|getFileAsBytes|getFileAsString|getReaderAsString|getStreamAsString|readFromBinaryFile|writeToBinaryFile|writeToTextFile
705,2,writeInfoFile,writeInfoFile,writeInfoFile
706,2,readBlacklist,readBlacklist,readBlacklist|writeExamples
739,2,getBytesFromFile,processFile,onStart|processFile
756,4,writeDOTFile,getOutputFileWriter,getOutputFileWriter|load|loadFromString|loadGrammar|loadImportedGrammar|writeDOTFile
768,2,checkin,loadIfcSchema,init|loadIfcSchema
780,2,stopLoop,stopLoop,releaseFifoOut|run|stopLoop
782,2,saveToFile,untar,importProject|untar
816,2,readObject,get,get|getOutputStream|readObject
823,5,getWmicResult,getFullWmicResult,getFullWmicResult|getWmicResult
843,2,copyToFile,copyToStream,copyToStream|readSvg|readText
845,2,cacheBytecode,getBytecode,cacheBytecode|getBytecode
854,4,getConvertedValue,getConvertedValue,getConvertedValue|renderImage
856,2,makeJar,makeJvmConfig,makeJar|makeJvmConfig
881,7,putFile,getFileAsReader,getFileAsInputStream|getFileAsReader|getZipFile|hasFile|putFile|save
883,7,restoreFiles,restoreFiles,convertContentToString|exportProject|extractImportParametersFromRequest|getProjectDescription|restoreFiles|toZipFile
895,2,importKFF,es c,e kffDir)|es c
913,3,generateReport,generateReport,generateReport
919,2,readString,copyToFile,copyToFile|readBytes|readString
920,3,write,getClassPath,getClassPath|read|write
930,2,redirectOutput,run,redirectOutput|run
940,2,get,getSession,getSession|handleMessageInternal|payloadToInputStream
948,7,initializeAndRunCoref,runConllEval,getConllEvalSummary|initializeAndRunCoref|runAndScoreCoref|runAndScoreCorefDist|runConllEval
964,2,getModifiedLogs,getModifiedLogs,appendToFile|getModifiedLogs
966,2,getFormattedLicense,getFormattedLicense,getFormattedLicense|showLicense
986,2,cacheGameProperties,cacheGameProperties,cacheGameProperties|loadCachedGamePropertiesInto
1004,2,writeBinaryCheckpoints,writeBinaryCheckpoints,writeBinaryCheckpoints|writeTextualCheckpoints
1011,2,visualize,visualize,shutdown|visualize
1021,2,read,args,args|read
1032,2,parse,getAnnexBFrameHeader,getAnnexBFrameHeader|parse
1033,2,testOnFile,convertToCSVfile,convertToCSVfile|testOnFile
