bug_id,report_count,defect_method,primary_defect_method,reported_methods
3,4,readFromFile,readFromFile,init|readFromFile
12,3,main,main,main
55,6,createJar,launchApp,createJar|getYarnDeployDependencies|launchApp|main
56,6,visitFile,launchApp,getYarnDeployDependencies|launchApp|main|visitFile
61,5,updateSSLKeystore,updateKeyPairs,doInTransactionWithoutResult|initiateXenServerPVDriverVersion|templateDetailsInitIfNotExist|updateKeyPairs|updateSSLKeystore
73,8,execute,executeProxyLoadScan,execute|executeProxyLoadScan
177,2,loadFromInputStream,saveToObj,loadFromObj|saveToObj
186,6,enterprise/tomcat5/src/org/netbeans/modules/tomcat5/deploy/TomcatManagerImpl.javacreateTempContextXml,createTempContextXml,createTempContextXml|encodePath|incrementalRedeploy|run
187,5,execute,generateMissingQuestions,execute|generateMissingQuestions|generateTemplateFile|resolveEntity
202,3,open,closeAsync,closeAsync|open|readAsync|readUnconfirmedAsync
206,2,load,load,load
207,3,loadClass,load,getResourceAsStream|load
220,3,loadBytesRaw,copyFile,copyFile|loadBytesRaw
234,3,getSecondaryServicePrincipalClientID,getSecondaryServicePrincipalClientID,cmdInvocation|getSecondaryServicePrincipalClientID|getSecondaryServicePrincipalSecret
240,6,pushUpload,openSSHTermOnSystem,addPubKey|authAndAddPubKey|openSSHTermOnSystem|pushUpload
247,2,waitForProcessToComplete,doExecute,doExecute|processInput
289,4,writeFile,readFile,getExceptionMessage|readFile|writeFile
295,2,extractEntry,extractEntry,extract|extractEntry
343,2,loadPropertyFile,loadPropertyFile,loadPropertyFile
373,3,writeExtraDdl,createDdlWriter,createDdlWriter|writeExtraDdl|writeExtraPlatformDdl|writeMigrationXml
413,3,create,create,activate|create|mapFile
439,2,createConfigFor,createConfigFor,createConfigFor
441,2,write,write,write
447,5,read,getMd5Hash,actualCopy|getFileAsBytes|getMd5Hash|parseXML|read
451,5,readContent,readContent,readContent|writeContent
454,3,readDefaultMarkdown,readMarkdown,readDefaultMarkdown|readMarkdown
463,2,parsedTemplateForResource,arsedTemplateForResource(,arsedTemplateForResource(
471,2,readFile,readFile,readFile
480,3,process,process,process
484,2,uploadJobResources,loadJarFromInputStream,loadJarFromInputStream|uploadJobResources
495,2,getPersistence,saveTimeStampCache,loadTimeStampCache|saveTimeStampCache
499,2,getFailingLine,createPrintableStackTrace,createPrintableStackTrace|getFailingLine
504,2,getClientDetail,makeGetter,getClientDetail|makeGetter
505,2,ClientGet,makeGetter,getClientDetail|makeGetter
530,6,installPlugin,unzipPlugin,getElementValue|installPlugin|loadPlugin|start|unzipPlugin
536,5,save,load,load|save
548,3,BundleSpiProvidersLoader.call,getPackageResources,call|getPackageResources
556,2,extract,extract,extract
560,2,write,init,init|writeFile
566,2,locate,locate,locate
575,2,loadAsString,loadAsString,loadAsString|write
610,2,loadDefaultProperties,loadDefaultProperties,loadDefaultProperties
611,3,run,getXMLDoc,getXMLDoc|run
632,2,load,parseInputStream,load|parseInputStream
634,2,parseConfig,openSource,openSource|parseConfig
635,3,build,ing ,fig(Path fi|ing |th na
638,2,compile,compile,compile|writeZone
642,2,save,readHistory,readHistory|save
644,2,readFileRaw,readFileRaw,readFileRaw|writeFile
651,4,cacheThumbnail,getLength,cacheThumbnail|copyOutgoingMedia|getLength|writeInternalMedia
695,2,writeChangeLog,writeChangeLog,writeChangeLog
702,8,writeToBinaryFile,writeToTextFile,copy|getFileAsBytes|getFileAsString|getReaderAsString|readFromBinaryFile|writeToBinaryFile|writeToTextFile
705,2,writeInfoFile,writeInfoFile,writeInfoFile
706,2,readBlacklist,readBlacklist,readBlacklist|writeExamples
756,6,writeDOTFile,getOutputFileWriter,getOutputFileWriter|load|loadFromString|loadImportedGrammar|writeDOTFile
768,2,checkin,init,init|loadIfcSchema
780,2,stopLoop,releaseFifoOut,releaseFifoOut|run
816,3,readObject,readObject,readObject|write
823,5,getWmicResult,getWmicResult,getFullWmicResult|getWmicResult
843,3,copyToFile,copyToStream,copyToStream|readSvg
845,2,cacheBytecode,getBytecode,cacheBytecode|getBytecode
854,3,getConvertedValue,getConvertedValue,getConvertedValue|renderImage
856,3,makeJar,makeJar,makeJar|makeJvmConfig
873,2,generateFromTemplate,generateFromTemplate,generateFromTemplate
881,7,putFile,putFile,getFileAsInputStream|getFileAsReader|getZipFile|putFile|save
883,7,restoreFiles,restoreFiles,exportProject|extractImportParametersFromRequest|getProjectDescription|restoreFiles|toZipFile
895,2,importKFF,es c,e kffDir)|es c
913,3,generateReport,generateReport,generateReport
920,3,write,getClassPath,getClassPath|read|write
930,2,redirectOutput,run,run
948,7,initializeAndRunCoref,runConllEval,getConllEvalSummary|initializeAndRunCoref|runAndScoreCoref|runAndScoreCorefDist|runConllEval
963,2,writeDataToFile,writeDataToFile,writeDataToFile
964,4,getModifiedLogs,getModifiedLogs,appendToFile|getModifiedLogs
966,2,getFormattedLicense,getFormattedLicense,getFormattedLicense|showLicense
986,2,cacheGameProperties,cacheGameProperties,cacheGameProperties|loadCachedGamePropertiesInto
1004,4,writeBinaryCheckpoints,writeBinaryCheckpoints,writeBinaryCheckpoints|writeTextualCheckpoints
1011,4,visualize,visualize,shutdown|visualize
1021,2,read,args,args|read
1032,2,parse,parse,getAnnexBFrameHeader|parse
1033,2,testOnFile,convertToCSVfile,convertToCSVfile|testOnFile
1037,4,handleDownload,handleRequest,handleRequest|serveStaticResources|writeAjaxPage
1047,2,readAll,utf8ByteBuffer,readAll|utf8ByteBuffer
1074,2,toXML,toXML,fromXML|toXML
1080,2,load,save,load|save
1081,2,save,save,load|save
1085,2,isKali,isKali,getManifest|getReleaseCreateDate|isKali
1106,3,createExcludeFile,eateExcludeFile(S,eateExcludeFile(S|stAppSubmitWithSubmissionPreProcessor()|stRegisterNMWithDiffUnits()
1110,2,serialize,deserialize,deserialize|serialize
1126,4,zipFileSize,zipDoesContainDir,execCommand|unTarUsingTar|zipDoesContainDir|zipFileSize
1173,6,generateScheme,execute,copyFileWithPIReplaced|execute|generateScheme|outputSubjectScheme
1174,3,parseResponse,parseResponse,parseResponse|throwIOExceptionOnErrorResponse|verifyFileSystemConfiguration
1177,2,execute,execute,execute
1182,7,addFile,addFile,accumulatedExtensionPointSuffixes|addFile|addJarEntry|addZipEntry|processJarFile|writeModuleSrcZipToOverallSrcZip
1193,4,persistKeyPairMap,reloadKeystore,createKeystore|persist|persistCertMap|reloadKeystore
1263,2,loadExistingFile,getFileWriter,getFileWriter|initializeFileOutput|loadExistingFile
1333,4,rebuildJournal,inputStreamToString,getString|inputStreamToString|newOutputStream|rebuildJournal
1341,2,saveDgmInfo,saveDgmInfo,loadDgmInfo|saveDgmInfo
1384,2,loadTerms,loadTerms,loadTerms
1388,7,copyStreamToFile,copyFile,canWriteTo|copyFile|copyStreamToFile|copyURItoFile|getStringFromFile
1389,7,getStringFromFile,copyFile,canWriteTo|copyFile|copyStreamToFile|copyURItoFile|getStringFromFile
1452,3,sendXMPP,sendXMPP,sendXMPP
1459,3,compareFileMagic,getContentHandler,compareFileMagic|dumpConfig|getContentHandler
1508,4,addBootFile,write,addBootFile|write
1510,2,read,read,read|write
1512,5,writeRextToFile,ex1,ex1|ex2|ex4|ex6|writeRextToFile
1523,3,getWmicResult,getWmicResult,getWmicResult
1529,4,concat,concat,analyse|concat
